Title|Author|Year|Status|Format|Previously Read|Notes
The Lord of the Rings|J.R.R. Tolkien|2025|Completed|Print|TRUE|Previously read: 2010, 2021, 2024
Harry Potter and the Sorcerer's Stone|J.K. Rowling|2025|Completed|Print|TRUE|NULL
Harry Potter and The Chamber of Secrets|J.K. Rowling|2025|Completed|Print|TRUE|NULL
107 Days|Kamala Harris|2025|Completed|Audio|FALSE|NULL
Harry Potter and the Prisoner of Azkaban|J.K. Rowling|2025|Started|Print|TRUE|NULL
The Education of Henry Adams|Henry Adams|2025|Started|Print|FALSE|NULL
The Autobiography of Benjamin Franklin|Benjamin Franklin|2025|Started|Print|FALSE|NULL
Team of Rivals: The Political Genius of Abraham Lincoln|Doris Kearns Goodwin|2025|Completed|Audio|FALSE|NULL
The Bully Pulpit: Theodore Roosevelt, William Howard Taft, and the Golden Age of Journalism|Doris Kearns Goodwin|2025|Started|Audio|FALSE|NULL
Outlive: The Science and Art of Longevity|Peter Attia, MD|2025|Completed|Audio|FALSE|NULL
The Nine: Insice the Secret World of the Supreme Court|Jeffrey Toobin|2025|Started|Audio|FALSE|NULL
Inspired: How to Create Tech Products Customers Love|Marty Cagan|2025|Started|Audio|FALSE|NULL
On Character: Choices That Define a Life|Stanley A. McChrystal|2025|Started|Audio|FALSE|NULL
Slow Productivity|Cal Newport|2025|Started|Print|FALSE|NULL
Deep Work|Cal Newport|2025|Started|Print|FALSE|NULL
Garibaldi and His Enemies|Christopher Hibbert|2025|Started|Print|FALSE|NULL
Endurance|Alfred Lansing|NULL|Completed|Print|FALSE|NULL
Brain Energy|Christopher M. Palmer, MD|NULL|Completed|Audio|FALSE|NULL
Dopamine Nation|Dr. Anna Lembke|NULL|Completed|Print|FALSE|NULL
Talking to My Daughter About the Economy|Yanis Varoufakis|NULL|Completed|Print|FALSE|NULL
Genghis Khan and the Making of the Modern World|Jack Weatherford|NULL|Completed|Print|FALSE|NULL
The Glass Castle|Jeanette Walls|NULL|Completed|Print|FALSE|Taught this
High Output Management|Andrew S. Grove|NULL|Completed|Print|FALSE|NULL
Can't Hurt Me|David Goggins|NULL|Completed|Print|FALSE|NULL
A Thousand Splendid Suns|Khaled Hosseini|NULL|Completed|Print|FALSE|NULL
The Hobbit|J.R.R. Tolkien|NULL|Completed|Print|FALSE|NULL
Why Zebras Don't Get Ulcers: The Acclaimed Guide to Stress, Stress-Related Diseases, and Coping|Robert M. Sapolsky|NULL|Completed|Print|FALSE|NULL
The Woman Warrior|Maxine Hong Kingston|NULL|Completed|Print|FALSE|Taught this
The Latehomecomer: A Hmong Family Memoir|Kao Kalia Yang|NULL|Completed|Print|FALSE|Taught this
What We Talk About When We Talk About Love|Raymond Carver|NULL|Completed|Print|FALSE|NULL
The Moral Animal: Why We Are the Way We Are: The New Science of Evolutionary Psychology|Robert Wright|NULL|Completed|Print|FALSE|NULL
The C Programming Language, Second Edition|Brian W. Kernighan and Dennis M. Ritchie|NULL|Completed|Print|FALSE|NULL
The War of Art|Steven Pressfield|NULL|Completed|Print|FALSE|NULL
When Breath Becomes Air|Paul Kalanithi|NULL|Completed|Print|FALSE|NULL
Fallen Angels|Walter Dean Meyers|NULL|Completed|Print|FALSE|Taught this
The Things They Carried|Tim O'Brien|NULL|Completed|Print|FALSE|Taught this
Much Ado About Nothing|William Shakespeare|NULL|Completed|Print|FALSE|Taught this
Hamlet|William Shakespeare|NULL|Completed|Print|FALSE|Taught this
The Taming of the Shrew|William Shakespeare|NULL|Completed|Print|FALSE|Taught this
Romeo and Juliet|William Shakespeare|NULL|Completed|Print|FALSE|Taught this
King Lear|William Shakespeare|NULL|Completed|Audio|FALSE|NULL
Antony and Cleopatra|William Shakespeare|NULL|Completed|Print|FALSE|NULL
Julius Caesar|William Shakespeare|NULL|Completed|Print|FALSE|NULL
Twelfth Night|William Shakespeare|NULL|Completed|Print|FALSE|Taught this
To Kill A Mockingbird|Harper Lee|NULL|Completed|Print|FALSE|Taught this
Jane Eyre|Charlotte Bronte|NULL|Completed|Print|FALSE|NULL
Pride and Prejudice|Jane Austen|NULL|Completed|Print|FALSE|NULL
Robinson Crusoe|Daniel Defoe|NULL|Completed|Print|FALSE|NULL
Heart of Darkness|Joseph Conrad|NULL|Completed|Print|FALSE|NULL
The Call of Cthulu|H.P. Lovecraft|NULL|Completed|Print|FALSE|NULL
Of Mice and Men|John Steinbeck|NULL|Completed|Print|FALSE|NULL
The Old Man and the Sea|Ernest Hemingway|NULL|Completed|Print|FALSE|NULL
The Hour Between Dog and Wolf: Risk Taking, Gut Feelings and the Biology of Boom and Bust|John Coates|NULL|Completed|Audio|FALSE|NULL
On Writing: A Memoir of the Craft|Stephen King|NULL|Completed|Print|FALSE|NULL
A Raisin in the Sun|Lorraine Hansberry|NULL|Completed|Print|FALSE|Taught this
Lost Connections: Uncovering the Real Causes of Depression - and the Unexpected Solutions|Johann Hari|NULL|Completed|Print|FALSE|NULL
The Art of Living: The Classical Manual on Virtue, Happiness and Effectiveness|Epictetus|NULL|Completed|Print|FALSE|NULL
Maus I: A Survivor's Tale: My Father Bleeds History|Art Spiegelman|NULL|Completed|Print|FALSE|Taught this
